عطفی	عطف
جدیدی	جدید
بلندی	بلند
بدی	بد
روزمرهٔ	روزمره
بزرگی	بزرگ
کمی	کم
زودتر	زود
مخلصانهٔ	مخلصانه
فوق‌العاده‌ای	فوق‌العاده
بیشتر	بیش
بیشتر	بیش
بالایی	بالا
جدیدی	جدید
آیندهٔ	آینده
جدیدی	جدید
دیرتر	دیر
بیشتر	بیش
شایستهٔ	شایسته
زیبای	زیبا
تازهٔ	تازه
بیشتری	بیش
نیکی	نیک
بیشتری	بیش
سادهٔ	ساده
مرغوب‌ترین	مرغوب
غیرمنقولی	غیرمنقول
زیادی	زیاد
بدترین	بد
خوبی	خوب
بی‌شماری	بی‌شمار
چشم‌نوازی	چشم‌نواز
مختصری	مختصر
سریع‌تر	سریع
بیشتر	بیش
سخنگوی	سخنگو
بدی	بد
تازهٔ	تازه
بهتر	به
عجیبی	عجیب
سبک‌تر	سبک
بالاتر	بالا
زیادی	زیاد
بهتری	به
جویای	جویا
جویای	جویا
خاصی	خاص
کمتر	کم
خستهٔ	خسته
بهتر	به
مارک‌داری	مارک‌دار
چندانی	چندان
بیشتری	بیش
بهتر	به
اولیهٔ	اولیه
بیشتری	بیش
بیشتر	بیش
باارزش	ارزش
جدیدی	جدید
معصومین	معصوم
دارای	دارا
مناسبی	مناسب
مناسب‌ترین	مناسب
جدیدی	جدید
دورافتاده‌ای	دورافتاده
نقلیه‌ای	نقلیه
نقلیه‌ای	نقلیه
مخروبه‌ای	مخروبه
زودتر	زود
دیگری	دیگر
سالمی	سالم
یکسانی	یکسان
زیادی	زیاد
بیشتری	بیش
مشترکی	مشترک
بریده‌شدهٔ	بریده‌شده
سقزی	سقز
مردانهٔ	مردانه
کمتر	کم
تجاری‌ای	تجاری
جدیدی	جدید
عمده‌ای	عمده
شدیدی	شدید
کمتر	کم
مؤمنی	مؤمن
خاصی	خاص
بیشتر	بیش
بیشتر	بیش
طولانی‌تر	طولانی
خاصی	خاص
تندی	تند
بیشتر	بیش
زیادی	زیاد
متخصصی	متخصص
غم‌انگیزی	غم‌انگیز
بهتر	به
بزرگی	بزرگ
سه‌گانهٔ	سه‌گانه
نامعلومی	نامعلوم
جالبی	جالب
ویژه‌ای	ویژه
دیگری	دیگر
خسته‌ای	خسته
بهترین	به
زیادی	زیاد
بیجایی	بیجا
خاصی	خاص
جالبی	جالب
بسیاری	بسیار
بهترین	به
مهمی	مهم
بیشتر	بیش
دیگری	دیگر
زیادی	زیاد
بهتر	به
ظریف‌ترین	ظریف
سخت‌ترین	سخت
کمتر	کم
بیشتری	بیش
مشترکی	مشترک
بیشتر	بیش
بدی	بد
پیرترین	پیر
صمیمی‌ترین	صمیمی
سختی	سخت
خوشحال‌ترین	خوشحال
خوبی	خوب
یادبودی	یادبود
ارزنده‌ای	ارزنده
زیادی	زیاد
کمتر	کم
جلوتر	جلو
زودتر	زود
کثیفی	کثیف
دیگری	دیگر
بیشتر	بیش
زلزله‌زدهٔ	زلزله‌زده
بهتر	به
آزادترین	آزاد
بهترین	به
بهترین	به
روشنی	روشن
رفیعی	رفیع
شگفت‌انگیزی	شگفت‌انگیز
بلندترین	بلند
بهترین	به
عالی‌ترین	عالی
بهترین	به
بلندی	بلند
دیگری	دیگر
معتبرترین	معتبر
اعلام‌شدهٔ	اعلام‌شده
بهتر	به
بهتری	به
بهتر	به
کوچکی	کوچک
خودساختهٔ	خودساخته
بیشترین	بیش
بهترین	به
زبانی	زبان
قبل‌ترش	قبل
زودتر	زود
زیادی	زیاد
بهینهٔ	بهینه
ارزان‌تر	ارزان
سختی	سخت
کمتر	کم
سریع‌تر	سریع
زودتر	زود
اولیهٔ	اولیه
مستقلی	مستقل
مختلفی	مختلف
بیشتر	بیش
مهمی	مهم
برهنهٔ	برهنه
زودتر	زود
مدیدی	مدید
حجی	حج
فاسدی	فاسد
بهتر	به
مرفهی	مرفه
عادل‌تر	عادل
نزدیک‌ترین	نزدیک
کمتر	کم
مستقیمی	مستقیم
بزرگی	بزرگ
کوچکی	کوچک
زیادی	زیاد
آرامی	آرام
زیادی	زیاد
بیشتر	بیش
بهترین	به
بهتر	به
تندتر	تند
بیشتر	بیش
بیشتر	بیش
خاصی	خاص
زیادی	زیاد
دیگری	دیگر
کاراتر	کارا
نظام‌مندی	نظام‌مند
بسیاری	بسیار
متفاوتی	متفاوت
طبقاتی	طبقات
قومی	قوم
مذهبی	مذهب
ویژهٔ	ویژه
کمتر	کم
خاصی	خاص
بیشتری	بیش
راحت‌تر	راحت
زیادی	زیاد
دیگری	دیگر
بیشتر	بیش
بیشتر	بیش
کریم‌تر	کریم
نزدیک‌تر	نزدیک
بهترین	به
جدیدی	جدید
بهینه‌تری	بهینه
علمیهٔ	علمیه
خوشبوی	خوشبو
نزدیک‌ترین	نزدیک
خوبی	خوب
جدیدی	جدید
فراوانی	فراوان
خاصی	خاص
مناسبی	مناسب
بیشتر	بیش
سختی	سخت
اصلی‌ترین	اصلی
بی‌قراری	بی‌قرار
دیگری	دیگر
پاکی	پاک
فراتر	فرا
ساده‌ترین	ساده
دارای	دارا
عظیمی	عظیم
نترس‌تر	نترس
راحت‌تر	راحت
موفق‌ترند	موفق
دارای	دارا
بیشتری	بیش
بهتری	به
دیگری	دیگر
دیگری	دیگر
بهت‌زدهٔ	بهت‌زده
مزخرف‌ترین	مزخرف
قدیمی‌ترین	قدیمی
بی‌شعوری	بی‌شعور
لذیذترین	لذیذ
تیره‌ای	تیره
رشیدی	رشید
بهتر	به
بهتر	به
تندی	تند
اتوکشیدهٔ	اتوکشیده
خوشی	خوش
زیباتر	زیبا
دیگری	دیگر
حرام‌زادهٔ	حرام‌زاده
وحشتناکی	وحشتناک
نرمی	نرم
تیزی	تیز
غریبی	غریب
دیگری	دیگر
بزرگ‌ترین	بزرگ
بیشتر	بیش
تیرهٔ	تیره
باشکوهی	باشکوه
شادی	شاد
دل‌باختهٔ	دل‌باخته
سردی	سرد
خنده‌داری	خنده‌دار
بی‌رمقی	بی‌رمق
مختصری	مختصر
کوچکی	کوچک
چندانی	چندان
ماهانه‌ای	ماهانه
مختلفی	مختلف
غریبی	غریب
سردی	سرد
بهترین	به
بهترین	به
کلانی	کلان
بهترین	به
بزرگی	بزرگ
دانسته	دانست#دان
بزرگی	بزرگ
بهترین	به
زودتر	زود
خوبی	خوب
عمده‌ای	عمده
سخت‌تر	سخت
آشناتر	آشنا
بهترین	به
پرآشوبی	پرآشوب
رفتهٔ	رفته
بیشتر	بیش
سخت‌تر	سخت
زیادی	زیاد
بزرگی	بزرگ
بزرگ‌تر	بزرگ
درستی	درست
محکم‌تر	محکم
منفورتر	منفور
گذشتهٔ	گذشته
انسانی‌تر	انسانی
محکم‌ترین	محکم
بیمارگونه‌ای	بیمارگونه
بیشتر	بیش
فراموش‌شدهٔ	فراموش‌شده
خاصی	خاص
سرسختانه‌ای	سرسختانه
ارزنده‌ای	ارزنده
دیگری	دیگر
خشکی	خشک
بیشتر	بیش
بی‌آزاری	بی‌آزار
ناشایستی	ناشایست
ساده‌ترین	ساده
دلفریبی	دلفریب
فراتر	فرا
بیشتر	بیش
دقیق‌تر	دقیق
عمیق‌تر	عمیق
دیگری	دیگر
گرانجانانهٔ	گرانجانانه
عمیق‌ترین	عمیق
عمیق‌ترین	عمیق
قوی‌ترین	قوی
دیگری	دیگر
بیشتر	بیش
زیادی	زیاد
دیگری	دیگر
خوشی	خوش
دینامیکی	دینامیک
خطرناکی	خطرناک
دارای	دارا
دارای	دارا
رفاهی	رفاه
مهمی	مهم
فردی	فرد
بیشتر	بیش
پیچیده‌تر	پیچیده
سادهٔ	ساده
مثبتی	مثبت
بزرگی	بزرگ
جدیدی	جدید
بالاترین	بالا
دوری	دور
بیشتر	بیش
بهتر	به
کمتر	کم
حرامی	حرام
بهتر	به
زبدهٔ	زبده
وسیع‌تر	وسیع
مؤکدتر	مؤکد
جدی‌تر	جدی
اصیل‌تر	اصیل
ارضای	ارضا
زیبای	زیبا
بهترین	به
بهترین	به
بهترین	به
بهترین	به
زیباترین	زیبا
نرم‌ترین	نرم
چشم‌گیرترین	چشم‌گیر
بزرگ‌ترین	بزرگ
وسیعی	وسیع
وسیعی	وسیع
محتاج‌تر	محتاج
بینواترین	بینوا
بهتر	به
سهل‌ترین	سهل
وقیحانه‌ای	وقیحانه
دندان‌شکنی	دندان‌شکن
مناسبی	مناسب
دیگری	دیگر
زیادی	زیاد
دیگری	دیگر
رنگارنگی	رنگارنگ
وحشیانهٔ	وحشیانه
زیادی	زیاد
محکمی	محکم
احمق‌ها	احمق
بیشتر	بیش
خودپسندتر	خودپسند
دیگری	دیگر
معینی	معین
زیادی	زیاد
گوناگونی	گوناگون
جدیدی	جدید
دارای	دارا
دارای	دارا
ملایمی	ملایم
حریری	حریر
معطری	معطر
بیراهی	بیراه
کمتر	کم
بیان‌کنندهٔ	بیان‌کننده
سربلندتر	سربلند
شریفهٔ	شریفه
پیش‌تر	پیش
مهمی	مهم
مهمی	مهم
محبوب‌ترین	محبوب
ساختهٔ	ساخته
ساختهٔ	ساخته
محاسباتی	محاسبات
نابغهٔ	نابغه
کثیری	کثیر
عاقل‌تر	عاقل
تنهای	تنها
تنهای	تنها
تنهای	تنها
مهربانی	مهربان
چشمگیری	چشمگیر
قدرتمندتر	قدرتمند
بیشتری	بیش
تمام‌شدهٔ	تمام‌شده
تمام‌شدهٔ	تمام‌شده
دارای	دارا
بسیاری	بسیار
بهتری	به
خوبی	خوب
گماشتهٔ	گماشته
حکیمانهٔ	حکیمانه
بیشتر	بیش
مناسبی	مناسب
بهتر	به
کمتر	کم
کمتر	کم
کمتر	کم
بزرگی	بزرگ
حقی	حق
ناشیانهٔ	ناشیانه
بدتر	بد
سالهٔ	ساله
کمتر	کم
بدی	بد
پیش‌تر	پیش
کوچک‌ترین	کوچک
دیگری	دیگر
خلوتی	خلوت
بدی	بد
فراغتی	فراغت
تنی	تن
مشخصی	مشخص
بالایی	بالا
تازه‌ای	تازه
دارای	دارا
فراتر	فرا
ناتوان‌کنندهٔ	ناتوان‌کننده
اصلی‌ترین	اصلی
دارای	دارا
شدیدی	شدید
بهترین	به
ویژه‌ای	ویژه
زیادی	زیاد
دیگری	دیگر
امنی	امن
مناسبی	مناسب
سلطه‌گری	سلطه‌گر
بزرگی	بزرگ
کوششی	کوشش
خودساخته‌ای	خودساخته
جلوتر	جلو
مهم‌ترین	مهم
زیادی	زیاد
جاافتاده‌ای	جاافتاده
منطقه‌ای	منطقه
پیوستهٔ	پیوسته
درازی	دراز
دیگری	دیگر
بهترین	به
بهتر	به
متفاوتی	متفاوت
مشترکی	مشترک
روزانهٔ	روزانه
هوشمندی	هوشمند
بهترین	به
بالاتر	بالا
تلخی	تلخ
بیشتری	بیش
ویژهٔ	ویژه
نیرومندی	نیرومند
دیگری	دیگر
عمدهٔ	عمده
جدیدی	جدید
خاصی	خاص
بزرگ‌ترین	بزرگ
عالیهٔ	عالیه
دیگری	دیگر
پرورشی	پرورش
بیشتری	بیش
بیشتری	بیش
مهمی	مهم
بزرگی	بزرگ
جدای	جدا
ستمدیده‌ای	ستمدیده
ابله‌تر	ابله
پست‌تر	پست
بهتر	به
دارای	دارا
بالای	بالا
دیگری	دیگر
زیادی	زیاد
قوی‌ترین	قوی
محبوب‌ترین	محبوب
دیگری	دیگر
درخشانی	درخشان
محرکهٔ	محرکه
معجزه‌آسایی	معجزه‌آسا
بزرگ‌تر	بزرگ
کمتر	کم
دیگری	دیگر
سعادت‌بخشی	سعادت‌بخش
دیگری	دیگر
جدیدی	جدید
پررنگی	پررنگ
مردهٔ	مرده
افشاگرانهٔ	افشاگرانه
بیشتر	بیش
بسیاری	بسیار
بیشتر	بیش
ساده‌ای	ساده
بهتر	به
کوتاهی	کوتاه
زودتر	زود
بالایی	بالا
بی‌بدیلی	بی‌بدیل
بی‌سابقه‌ای	بی‌سابقه
مجهزتر	مجهز
کمتر	کم
ساده‌ترین	ساده
معمولی‌ترین	معمولی
دارای	دارا
دردآلودتر	دردآلود
بیشتری	بیش
ماههٔ	ماهه
کمتر	کم
کمی	کم
سریع‌تر	سریع
مشهورترین	مشهور
ناچیزی	ناچیز
بهترین	به
مختلفی	مختلف
دربرگیرندهٔ	دربرگیرنده
موفقی	موفق
بیشتر	بیش
غلطی	غلط
زیباتر	زیبا
بزرگ‌تر	بزرگ
محبوب‌ترین	محبوب
کمتر	کم
بدترین	بد
بیشتری	بیش
بزرگ‌ترین	بزرگ
بیشتری	بیش
بیکی	بیک
گرانبهایی	گرانبها
تازه‌ای	تازه
بیشتری	بیش
وصف‌ناپذیری	وصف‌ناپذیر
تمام‌نمای	تمام‌نما
بیشتری	بیش
آلودهٔ	آلوده
همپایهٔ	همپایه
بی‌شماری	بی‌شمار
بی‌مورد	مورد
ضعیف‌تر	ضعیف
خطرناکی	خطرناک
مهیای	مهیا
بیشتری	بیش
روزانهٔ	روزانه
بهتر	به
پهنی	پهن
هنگفتی	هنگفت
روشن‌تر	روشن
بسیاری	بسیار
زودتر	زود
کمتر	کم
پسندیده‌ترین	پسندیده
بیشتر	بیش
خوبی	خوب
مشخصی	مشخص
سالمی	سالم
سالمی	سالم
بزرگی	بزرگ
بزرگی	بزرگ
عمده‌ترین	عمده
عالی‌ترین	عالی
مناسبی	مناسب
بهتر	به
زیباتر	زیبا
ویژهٔ	ویژه
دوطرفهٔ	دوطرفه
زیادی	زیاد
زاییدهٔ	زاییده
پیرترین	پیر
بیشتری	بیشتر
بسیاری	بسیار
بیشتر	بیش
بالای	بالا
صاحب‌نظری	صاحب‌نظر
ساده‌ترین	ساده
جدیدی	جدید
اولیهٔ	اولیه
جدیدی	جدید
گوناگونی	گوناگون
وحشت‌باری	وحشت‌بار
سالهٔ	ساله
بهترین	به
سخت‌تر	سخت
بزرگی	بزرگ
بیشتر	بیش
کوچک‌ترین	کوچک
بیشتر	بیش
کمتر	کم
بالای	بالا
جلوتر	جلو
دشوارترین	دشوار
کوتاه‌ترین	کوتاه
مهمی	مهم
دیگری	دیگر
بهتر	به
کوچک‌تر	کوچک
فراوانی	فراوان
کوچک‌ترین	کوچک
زیادی	زیاد
بزرگ‌ترم	بزرگ
باریکی	باریک
قدیمی‌تر	قدیمی
کمتر	کم
کمتر	کم
راحت‌تر	راحت
تلف‌شدهٔ	تلف‌شده
زیادی	زیاد
بهتر	به
موفق‌تر	موفق
زشتی	زشت
بهتر	به
بالایی	بالا
بسیاری	بسیار
خاصی	خاص
زیادی	زیاد
ویژه‌ای	ویژه
موشکی	موشک
بزرگی	بزرگ
بهترین	به
آیندهٔ	آینده
بزرگ‌تر	بزرگ
بهترین	به
فاضل‌ترین	فاضل
گرمی	گرم
بسیاری	بسیار
بیشتری	بیش
شدیدترین	شدید
ویژهٔ	ویژه
نامطلوبی	نامطلوب
ضعیفی	ضعیف
سیاهی	سیاه
دارای	دارا
بهتر	به
زیبایی	زیبا
بی‌طبقهٔ	بی‌طبقه
فارسی‌گوی	فارسی‌گو
سنگینی	سنگین
بهتر	به
بیشتر	بیش
بهترین	به
پیشرفته‌ترین	پیشرفته
جنبنده‌ای	جنبنده
بادآوردهٔ	بادآورده
زودتر	زود
اقتصادی‌ای	اقتصادی
بهینهٔ	بهینه
دیگری	دیگر
دیگری	دیگر
بزرگی	بزرگ
عظیمی	عظیم
خبیثانهٔ	خبیثانه
کمتر	کم
بیشتر	بیش
سبک‌تر	سبک
کوتاه‌تر	کوتاه
بیشترین	بیش
حیرت‌انگیزی	حیرت‌انگیز
فرسودهٔ	فرسوده
بهتر	به
زیادی	زیاد
هراسی	هراس
گمشدهٔ	گمشده
کمتر	کم
ناعادلانه‌ای	ناعادلانه
نامعلومی	نامعلوم
صادرکنندهٔ	صادرکننده
محرکهٔ	محرکه
راحت‌تر	راحت
جدیدی	جدید
والای	والا
مشخصی	مشخص
حریص‌تر	حریص
سریع‌تر	سریع
بیشتر	بیش
برجستهٔ	برجسته
بیشتر	بیش
تازه‌ای	تازه
کمتر	کم
بهترین	به
پیادهٔ	پیاده
بی‌نظیرترین	بی‌نظیر
نژاده‌ای	نژاده
زندهٔ	زنده
عظیم‌ترین	عظیم
مهم‌ترین	مهم
ترحم‌انگیزی	ترحم‌انگیز
معلقی	معلق
کمتر	کم
تشنهٔ	تشنه
عارفانه‌ای	عارفانه
زیادی	زیاد
سخت‌ترین	سخت
معتبرترین	معتبر
متناقضی	متناقض
بهترین	به
بازماندهٔ	بازمانده
برترین	برتر
بزرگ‌ترین	بزرگ
زیادی	زیاد
زیادی	زیاد
سالانهٔ	سالانه
بالاتر	بالا
دیگری	دیگر
بزرگ‌ترین	بزرگ
سرپوشیدهٔ	سرپوشیده
سریع‌تر	سریع
دیگری	دیگر
فراگیری	فراگیر
جمعی	جمع
نقلیهٔ	نقلیه
سالهٔ	ساله
کمتر	کم
مهم‌ترین	مهم
کوچک‌ترین	کوچک
زیادی	زیاد
بهترین	به
بیشتر	بیش
باطن‌گرایانهٔ	باطن‌گرایان
متفاوتی	متفاوت
اجتناب‌ناپذیری	اجتناب‌ناپذیر
زیادی	زیاد
خفتهٔ	خفته
زیباترین	زیبا
زیادی	زیاد
گذشتهٔ	گذشته
زیادی	زیاد
زیادی	زیاد
بزرگ‌ترین	بزرگ
گذشتهٔ	گذشته
جالبی	جالب
قدرتمندترین	قدرتمند
معتبرترین	معتبر
بهترین	به
حقارت‌آمیزی	حقارت‌آمیز
بیشتر	بیش
برنزکاری‌شدهٔ	برنزکاری‌شده
خوبی	خوب
هنگفتی	هنگفت
کلانی	کلان
سالهٔ	ساله
زیادی	زیاد
شکننده‌ای	شکننده
غامض‌ترین	غامض
انتزاعی‌ترین	انتزاعی
واردی	وارد
بهتر	به
سالهٔ	ساله
معصومین	معصوم
خوبی	خوب
پرستارهٔ	پرستاره
جدیدی	جدید
کمتر	کم
کمتر	کم
خوش‌رنگی	خوش‌رنگ
کمی	کم
بیشتر	بیش
خاصی	خاص
دیگری	دیگر
فوقانی	فوق
مصیبت‌باری	مصیبت‌بار
کمتر	کم
بیشتر	بیش
کمترین	کم
شکوهمندترین	شکوهمند
بسیاری	بسیار
انبوهی	انبوه
نوپای	نوپا
بیشتر	بیش
زیادی	زیاد
زیادی	زیاد
موفقی	موفق
مثبتی	مثبت
خاصی	خاص
درازی	دراز
مجرمانه‌ای	مجرمانه
غرایی	غرا
بزرگ‌تر	بزرگ
کوچک‌تر	کوچک
آشنایی	آشنا
دارای	دارا
بالایی	بالا
دیگری	دیگر
دیگری	دیگر
ضعیفی	ضعیف
دیگری	دیگر
بهتر	به
زیادی	زیاد
زودتر	زود
ویژهٔ	ویژه
سلیمی	سلیم
سالهٔ	ساله
اولیهٔ	اولیه
گذشتگانی	گذشته
بیشتر	بیش
کمتر	کم
زیادی	زیاد
باارزشی	باارزش
فرصت‌طلبی	فرصت‌طلب
جدیدی	جدید
کلانی	کلان
کمتر	کم
بیشتر	بیش
رئیسهٔ	رئیسه
درشت‌تر	درشت
انبوهی	انبوه
مفصلی	مفصل
زیادی	زیاد
متعصبی	متعصب
پرورشی	پرورش
بیشتری	بیش
وسیعی	وسیع
دلاورانهٔ	دلاورانه
مطلقهٔ	مطلقه
خودکامهٔ	خودکامه
سالانهٔ	سالانه
سریع‌تر	سریع
زیادی	زیاد
زیادی	زیاد
ویژهٔ	ویژه
دانش‌بنیانی	دانش‌بنیان
بیشتری	بیش
کوچکی	کوچک
زودتر	زود
زودتر	زود
ویژهٔ	ویژه
دیگری	دیگر
غیرمحسوسی	غیرمحسوس
بالاتر	بالا
بهترین	به
بزرگ‌تری	بزرگ
جدیدی	جدید
جالبی	جالب
متعددی	متعدد
هلندی	هلند
پرقوت‌تر	پرقوت
جنجال‌برانگیزتر	جنجال‌برانگیز
دقیقی	دقیق
عاشقانهٔ	عاشقانه
زیباتر	زیبا
لذت‌بخش‌تر	لذت‌بخش
باصفاتر	باصفا
کمتر	کم
کوچک‌تر	کوچک
کوچک‌تر	کوچک
بهتر	به
ویژه‌ای	ویژه
قشنگی	قشنگ
یک‌جانبهٔ	یک‌جانبه
بزرگ‌ترین	بزرگ
مؤثری	مؤثر
خاصی	خاص
کمتر	کم
بهتری	به
مشابهی	مشابه
تازه‌ترین	تازه
بدی	بد
دیگری	دیگر
بزرگ‌ترین	بزرگ
بزرگ‌ترین	بزرگ
سالهٔ	ساله
دورتر	دور
آسان‌تر	آسان
جاودانهٔ	جاودانه
بهترین	به
گرانبهای	گرانبها
بیشتر	بیش
ماندهٔ	مانده
آمادهٔ	آماده
بیشتر	بیش
سالانهٔ	سالانه
ممتازی	ممتاز
دیگری	دیگر
بیشتر	بیش
دموکراتیک‌تر	دموکراتیک
کمتر	کم
کمتر	کم
محدودتر	محدود
محدودتر	محدود
بیشتر	بیش
تازهٔ	تازه
ویژهٔ	ویژه
شتابندهٔ	شتابنده
بیشتر	بیش
زیادی	زیاد
بیشتری	بیش
دارای	دارا
بنیادگرای	بنیادگرا
بیشترین	بیش
جدیدی	جدید
کمترین	کم
ممتازترین	ممتاز
پست‌تر	پست
جلوتر	جلو
عقب‌تر	عقب
خاصی	خاص
بدتر	بد
زیادی	زیاد
مختلفی	مختلف
مهارتی	مهارت
بلندتر	بلند
بزرگ‌ترین	بزرگ
نیکی	نیک
روندهٔ	رونده
حساسی	حساس
متعددی	متعدد
دست‌نشاندهٔ	دست‌نشانده
جدیدی	جدید
تعیین‌نشدهٔ	تعیین‌نشده
امروزهٔ	امروزه
آخری	آخر
بالاتر	بالا
صحیحهٔ	صحیحه
مختلفی	مختلف
وارسته‌ای	وارسته
بالاترین	بالا
زیادی	زیاد
خلوتی	خلوت
کمتر	کم
مختصرتر	مختصر
بزرگی	بزرگ
تندی	تند
فراتر	فرا
معروفی	معروف
کمتر	کم
کمتر	کم
خوبی	خوب
بهترین	به
خاطره‌انگیزترین	خاطره‌انگیز
بهتر	به
زیادی	زیاد
دارای	دارا
بالایی	بالا
برترین	برتر
معینی	معین
باانگیزهٔ	باانگیزه
زودتر	زود
بهتر	به
کمترین	کم
کمی	کم
بهتر	به
کمتر	کم
کمتر	کم
بهتر	به
خوبی	خوب
رسوب‌کردهٔ	رسوب‌کرده
متعددی	متعدد
بدی	بد
بدتر	بد
بیشتر	بیش
جوانی	جوان
مسن‌تر	مسن
محدودتری	محدود
بالاترین	بالا
پایینی	پایین
هنگفتی	هنگفت
بی‌رویهٔ	بی‌رویه
هسته‌ای‌اش	هسته
خیری	خیر
مشهورترین	مشهور
کمترین	کم
توهینی	توهین
زیبایی	زیبا
بیشتر	بیش
دیگری	دیگر
کمتر	کم
بالاتر	بالا
بهتر	به
باصرفه‌ترین	باصرفه
پاکیزه‌ای	پاکیزه
نیکوتر	نیکو
کهنه‌تر	کهنه
زودتر	زود
بیشتر	بیش
بیشتر	بیش
وحشتناکی	وحشتناک
تاکسیدرمی‌شدهٔ	تاکسیدرمی‌شده
سیاهی	سیاه
باحیای	باحیا
ذخیرهٔ	ذخیره
عمیقی	عمیق
افریقای	افریقا
قدیمی‌ترین	قدیمی
کمتر	کم
کوتاهی	کوتاه
کوتاهی	کوتاه
پیشرفته‌ای	پیشرفته
توانای	توانا
نابینای	نابینا
زندگی‌سازانهٔ	زندگی‌سازانه
پیش‌تر	پیش
پیش‌تر	پیش
ناگواری	ناگوار
محدودی	محدود
بیشترین	بیش
بهترین	به
بیشتر	بیش
بهتری	به
ریاضت‌طلبانهٔ	ریاضت‌طلبانه
دردآوری	دردآور
کامل‌ترین	کامل
شایستهٔ	شایسته
اندکی	اندک
سالهٔ	ساله
روباتی	روبات
بیشتر	بیش
بزرگی	بزرگ
ساختهٔ	ساخته
داغ‌ترین	داغ
بهتر	به
بهترین	به
بهترین	به
بهترین	به
سخت‌تری	سخت
بهتری	به
دوقلوی	دوقلو
بیشتر	بیش
بیشتری	بیش
بدترین	بد
خوبی	خوب
بیشتر	بیش
پیش‌تر	پیش
مرجانی	مرجان
خوشخوان	خوشخو
مدیریتی	مدیریت
بیشتر	بیش
محکمی	محکم
دارای	دارا
بهتر	به
فعال‌ترین	فعال
کمتر	کم
بهتر	به
بهترین	به
مستقلی	مستقل
اعلام‌شدهٔ	اعلام‌شده
دارای	دارا
دیرینهٔ	دیرینه
پیچیده‌تر	پیچیده
کمتر	کم
بیشتر	بیش
بزرگ‌ترین	بزرگ
سنگین‌ترین	سنگین
بهترین	به
بزرگی	بزرگ
کوچک‌ترین	کوچک
استوایی	استوا
زیادی	زیاد
آیندهٔ	آینده
سرخی	سرخ
بیشتر	بیش
متعددی	متعدد
شکستهٔ	شکسته
زیادی	زیاد
خوبی	خوب
بیشتر	بیش
بیشتر	بیش
کمتر	کم
کوچک‌ترین	کوچک
وصف‌ناپذیری	وصف‌ناپذیر
سخت‌تر	سخت
بیشتر	بیش
معوقهٔ	معوقه
مختلفی	مختلف
نازل‌ترین	نازل
بالاترین	بالا
بیشتر	بیش
برگزیدهٔ	برگزیده
پایین‌تر	پایین
مجربی	مجرب
زیادی	زیاد
خوش‌خیالی	خوش‌خیال
زیادی	زیاد
گستردهٔ	گسترده
روشن‌تر	روشن
زیادی	زیاد
مهم‌ترین	مهم
شاعرانهٔ	شاعرانه
کارشناسانه‌ای	کارشناسانه
آلرژی‌زای	آلرژی‌زا
گستردهٔ	گسترده
زیادی	زیاد
بیشترین	بیش
دارای	دارا
بسیاری	بسیار
کمتر	کم
بزرگ‌ترین	بزرگ
جانانه‌ای	جانانه
بهتر	به
دیگری	دیگر
زیادی	زیاد
مناسب‌ترین	مناسب
بزرگی	بزرگ
مناسب‌ترین	مناسب
دارای	دارا
طلای	طلا
بی‌غیرت‌ترین	بی‌غیرت
زیبایی	زیبا
زیادی	زیاد
ساله‌ای	ساله
شیفتهٔ	شیفته
اشراف‌زاده‌ای	اشراف‌زاده
متعددی	متعدد
دارای	دارا
پایینی	پایین
تخصصی‌تر	تخصص
وسوسه‌انگیزی	وسوسه‌انگیز
فراتر	فرا
شلوغ‌ترین	شلوغ
سالهٔ	ساله
سریع‌تر	سریع
بیشتر	بیش
کوتاهی	کوتاه
فراوانی	فراوان
کاملی	کامل
زیادی	زیاد
مقدسهٔ	مقدسه
دیگری	دیگر
جوانی	جوان
دارای	دارا
پیشرفته‌ای	پیشرفته
ساده‌تر	ساده
تزئینی	تزئین
تیرهٔ	تیره
گسترده‌ای	گسترده
خوبی	خوب
محدودی	محدود
بچه‌تر	بچه
گسترده‌ای	گسترده
کوچکی	کوچک
دقیق‌تر	دقیق
بی‌ریای	بی‌ریا
دست‌نشاندهٔ	دست‌نشانده
بیشتر	بیش
فراوانی	فراوان
زیادی	زیاد
کلانی	کلان
بدنام‌ترین	بدنام
بزرگ‌تر	بزرگ
پژوهشی	پژوهش
کمتر	کم
عاشقانهٔ	عاشقانه
بهتر	به
یکسانی	یکسان
ماهانهٔ	ماهانه
محبوب‌تر	محبوب
پهناوری	پهناور
پراکندهٔ	پراکنده
بیشترین	بیش
خوبی	خوب
خارجهٔ	خارجه
بیشتری	بیش
بیشتری	بیش
بزرگواری	بزرگوار
مختلفی	مختلف
پایینی	پایین
خوشبوترین	خوشبو
کمتر	کم
والاترین	والا
دیگری	دیگر
موفق‌تر	موفق
زننده‌ای	زننده
عجیبی	عجیب
دیگری	دیگر
فرصت‌طلبی	فرصت‌طلب
بیشتر	بیش
سهل‌تر	سهل
بالاتر	بالا
تازهٔ	تازه
سادهٔ	ساده
بزرگ‌تر	بزرگ
زودتر	زود
چپ‌ها	چپ
بیشتری	بیش
بیشتر	بیش
خوبی	خوب
بزرگ‌تر	بزرگ
بزرگ‌تر	بزرگ
انسانی	انسان
محدودی	محدود
دارای	دارا
به‌خصوصی	به‌خصوص
خلوتی	خلوت
زیادی	زیاد
متعددی	متعدد
